date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:58:31	3439/3439	---M--	200	added ('OK')	image/png	etag:%22d6f-61255b4debca6%22	https://www.residentevil.com/village/assets/images/common/gameplay-contsttl_line-b-sp.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/gameplay-contsttl_line-b-sp.png	(from https://www.residentevil.com/village/assets/css/page/product.css)
02:58:32	907876/907876	---M--	200	added ('OK')	image/png	etag:%22dda64-61255b4e11e09%22	https://www.residentevil.com/village/assets/images/topics/demo/page_bg.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/topics/demo/page_bg.png	(from https://www.residentevil.com/village/assets/css/page/topics.css)
02:58:32	5375/5375	---M--	200	added ('OK')	image/png	etag:%2214ff-61255b4def357%22	https://www.residentevil.com/village/assets/images/common/product-contsttl_line-b.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/product-contsttl_line-b.png	(from https://www.residentevil.com/village/assets/css/page/product.css)
02:58:33	151724/151724	---M--	200	added ('OK')	image/jpeg	etag:%22250ac-61255b4e0b0a9%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img06-01.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img06-01.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:35	107634/107634	---M--	200	added ('OK')	image/jpeg	etag:%221a472-61255b4e0b491%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img06-02.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img06-02.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:35	91724/91724	---M--	200	added ('OK')	image/jpeg	etag:%221664c-61255b4e0b491%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img06-03.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img06-03.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:36	12791/12791	---M--	200	added ('OK')	image/jpeg	etag:%2231f7-61255b4e0a4f1%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-01.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-01.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:36	26623/26623	---M--	200	added ('OK')	image/jpeg	etag:%2267ff-61255b4e0a4f1%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-02.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-02.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:37	16842/16842	---M--	200	added ('OK')	image/jpeg	etag:%2241ca-61255b4e0a4f1%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-03.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-03.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:37	46004/46004	---M--	200	added ('OK')	image/jpeg	etag:%22b3b4-61255b4e0a8d9%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-04.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-04.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:37	17228/17228	---M--	200	added ('OK')	image/jpeg	etag:%22434c-61255b4e0a8d9%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-05.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-05.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:38	74771/74771	---M--	200	added ('OK')	image/jpeg	etag:%2212413-61255b4e0a8d9%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-06.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-06.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:38	41484/41484	---M--	200	added ('OK')	image/jpeg	etag:%22a20c-61255b4e0a8d9%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-07.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-07.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
02:58:39	67258/67258	---M--	200	added ('OK')	image/jpeg	etag:%22106ba-61255b4e0acc1%22	https://www.residentevil.com/village/assets/images/product/sku/contents_img01-08.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/product/sku/contents_img01-08.jpg	(from https://www.residentevil.com/village/en-asia/modal/product.html)
